epoch,train_loss,val_loss
1,0.10549705080246134,0.07093774695829493
2,0.06209880266662664,0.0555845662564801
3,0.05249765500651682,0.0486730674193706
4,0.047761699184457,0.044826588042998015
5,0.044179878274172704,0.04142556309925088
6,0.042076676157899257,0.04078305741060759
7,0.04022300366609601,0.03973002516246876
8,0.03848476578113646,0.03850753844292195
9,0.03737653098068335,0.03672067621487642
10,0.036354822606940874,0.03577992875680131
11,0.035664019040054104,0.03477506126593842
12,0.03489263311386302,0.034480135785422986
13,0.03429596705119939,0.0331276495119313
14,0.033859695308865484,0.03417887254008528
15,0.032937337415984626,0.0339272701124481
16,0.0328661508497199,0.03203376066834196
17,0.032387963303389805,0.03197350852641599
18,0.03181012263599547,0.03310695391849526
19,0.03141791222404056,0.03312714777794529
20,0.03099499108202003,0.030508100744812965
21,0.03064655785457922,0.0316100000027974
22,0.030467471716041455,0.029553693182489422
23,0.03055381469958268,0.029950675512732554
24,0.03014535862389634,0.030310489566265197
25,0.02973161239897725,0.03049234606002441
26,0.029574353757235276,0.029472081505749044
27,0.0293104847816079,0.02942956762502329
28,0.028923520864990455,0.029515974766825125
29,0.028826038518685284,0.027529938207069265
