epoch,train_loss,val_loss
1,0.1002688364723802,0.0725035303720294
2,0.06129126144543486,0.0546777943462295
3,0.05290321095787222,0.05099936980122194
4,0.04824780969487522,0.04573095758538621
5,0.04488382742211281,0.04508132766138713
6,0.042386126225561774,0.04186568742778115
7,0.04028635886832855,0.04092001685862574
8,0.039264650425823236,0.037555518970585997
9,0.0378089829075364,0.036946784761192536
10,0.0369072819147415,0.03490700075254248
11,0.03617650865642581,0.03525947698187819
12,0.03543065940740628,0.03386162428183901
13,0.03478545667815312,0.033699851797635384
14,0.034347379925546026,0.03498327059456307
15,0.033629960635649284,0.0319578283301199
16,0.033089874774679846,0.03303472015726806
17,0.03255837543916395,0.03274299633436015
18,0.03234405478249603,0.030997524444103287
19,0.03191332662660502,0.034319619285296234
20,0.031605770701449855,0.031435691131860316
21,0.03159675347010558,0.030767144929649385
22,0.03108073792949897,0.03134418243439875
23,0.031002402612966537,0.030780357561895868
24,0.03063740987579622,0.02976536742858098
25,0.030214716818510283,0.029787585635595224
26,0.03041861785492659,0.029035823901582835
27,0.02980381403060433,0.02972318988010622
28,0.0299433453586013,0.028740012043644115
29,0.029387194344143882,0.028904208746802936
30,0.029332929703408103,0.029354737158994587
31,0.02916286420204424,0.02754663179270017
32,0.029171217537600144,0.029048739744914447
33,0.02875819069434768,0.027873445002868553
34,0.02873846751971543,0.02800643770276669
35,0.028506423414187736,0.028426360762385923
36,0.028208440388236885,0.028176644814109083
