epoch,train_loss,val_loss
1,0.10229067019118629,0.06561195749665397
2,0.059885673121463395,0.052845036967330714
3,0.05218502922151368,0.04741152325871607
4,0.04776354782841049,0.049752008161232694
5,0.044169233155273976,0.042597170734502476
6,0.04184811258151518,0.04636549814167778
7,0.03988289686024617,0.03797523162993555
8,0.038898092090518144,0.03560203027577478
9,0.03749033502681737,0.03610957830878859
10,0.036269315780597125,0.03544014270722543
11,0.03581192781071116,0.03531580303790586
12,0.03489064102235706,0.033231943170522
13,0.03425733000995094,0.03327481882353793
14,0.033600319141894194,0.03361260169997269
15,0.03327453036149039,0.032906149630164284
16,0.0329589052765688,0.03273459350925421
17,0.03231050014601541,0.03440961909157929
18,0.03207715021640857,0.03298854052524157
19,0.03150921120238144,0.03023756040140444
20,0.031130012800944726,0.030719710958329493
21,0.031144072623056563,0.030430081842206042
22,0.030820328800523104,0.029645299548348145
23,0.030620601676039014,0.030988580582621574
24,0.03011993711190007,0.029289321841904352
25,0.02999694004493801,0.029032729757988665
26,0.029570284099312515,0.031866049196348924
27,0.029569448912912577,0.028839358417165777
28,0.02949586094308844,0.02788082489456713
29,0.029356607693113632,0.029416763956646278
30,0.02897424517822401,0.030354095117198367
31,0.02896103868205269,0.03076007235347994
32,0.028754542690134013,0.02927017547796162
33,0.02860551726020818,0.02895394365622797
